,CA1,CA2,TA1,TA2,CB1,CB2,TB1,TB2,CC1,CC2,TC1,TC2
Gene0927,65,51,70,49,45,38,113,61,69,49,70,60
Gene0928,7,20,11,22,20,16,11,14,6,6,13,23
Gene0929,421,360,524,424,261,530,633,668,553,337,398,213
Gene0930,141,222,297,233,227,309,208,342,111,164,219,136
Gene0931,116,94,48,90,102,94,135,97,55,76,82,83
Gene0932,184,80,82,132,110,249,83,310,165,120,101,232
Gene0933,80,108,69,93,52,109,68,177,81,96,89,80
Gene0934,422,407,569,694,241,640,594,527,285,424,173,287
Gene0935,11,14,25,15,11,17,16,15,12,19,13,17
Gene0936,449,270,172,242,379,242,249,494,326,306,357,273
Gene0937,54,93,73,36,57,77,106,64,57,57,120,59
Gene0938,35,51,50,38,40,84,25,57,53,76,57,43
Gene0939,292,471,572,533,446,739,320,845,566,685,811,302
Gene0940,72,70,101,66,103,58,230,38,57,40,98,64
Gene0941,15,30,30,15,39,21,21,9,15,7,8,33
Gene0942,123,274,102,203,659,151,253,354,308,557,159,389
Gene0943,34,27,37,28,47,53,44,41,40,20,22,29
Gene0944,192,113,132,67,153,79,141,120,87,147,166,68
Gene0945,449,1700,617,458,797,373,1144,1713,516,385,744,876
Gene0946,60,53,50,32,81,65,73,94,39,73,75,45
Gene0947,28,43,46,15,60,38,39,32,28,17,26,16
Gene0948,75,55,94,94,74,122,45,104,98,31,110,69
Gene0949,87,58,80,77,103,76,120,136,92,56,40,112
Gene0950,46,83,82,74,82,100,76,70,72,56,56,78
Gene0951,297,547,532,576,499,533,437,723,822,239,206,248
Gene0952,31,44,43,70,9,23,36,40,63,23,41,48
Gene0953,57,53,59,114,143,136,130,97,61,67,54,76
Gene0954,139,229,156,215,220,186,170,424,102,225,200,291
Gene0955,107,102,71,70,125,106,105,66,62,100,72,83
Gene0956,44,41,35,24,34,44,55,54,55,36,30,44
Gene0957,68,85,69,90,85,133,78,67,60,71,48,81
Gene0958,44,39,14,32,55,45,24,56,42,39,25,36
Gene0959,421,786,444,650,547,354,863,853,487,200,453,548
Gene0960,76,77,71,191,163,103,75,103,58,40,61,39
Gene0961,37,16,28,26,26,43,16,18,42,21,13,32
Gene0962,42,53,54,19,43,64,46,48,13,59,27,28
Gene0963,189,111,119,84,200,65,224,204,150,104,72,214
Gene0964,116,129,114,161,165,216,142,153,103,172,166,112
Gene0965,37,55,21,22,27,47,41,62,23,35,42,35
Gene0966,89,83,55,68,96,58,112,103,45,87,76,67
Gene0967,88,69,61,75,90,73,88,93,69,90,86,35
Gene0968,70,234,140,208,268,152,119,292,148,147,142,261
Gene0969,18,33,41,14,43,46,22,21,23,27,21,14
Gene0970,160,291,167,174,152,262,112,311,220,214,187,306
Gene0971,20,32,41,37,45,56,35,50,32,47,47,30
Gene0972,121,52,102,54,63,24,108,57,77,60,68,70
Gene0973,492,534,375,244,460,690,298,557,262,194,396,233
Gene0974,24,47,35,50,59,21,8,47,28,38,34,23
Gene0975,120,112,82,122,72,105,296,127,142,162,123,150
Gene0976,51,63,26,53,51,58,36,31,35,45,37,53
Gene0977,326,181,187,137,176,151,221,259,152,163,148,195
Gene0978,37,16,27,61,22,47,25,38,62,37,28,53
Gene0979,246,217,568,265,541,277,346,375,122,218,293,189
Gene0980,64,43,72,69,76,54,40,32,66,32,62,31
Gene0981,6,6,5,3,7,15,10,6,4,4,6,3
Gene0982,196,114,95,220,121,178,127,154,110,171,172,91
Gene0983,39,42,41,63,29,25,17,26,27,34,36,24
Gene0984,312,561,523,749,967,721,535,791,547,521,378,606
Gene0985,23,45,23,45,32,43,75,41,10,19,26,38
Gene0986,166,98,144,144,220,171,167,163,157,107,100,120
Gene0987,339,385,236,762,374,499,734,614,290,326,195,225
Gene0988,84,102,67,56,95,60,45,103,53,54,61,66
Gene0989,484,271,175,181,181,132,205,223,131,182,177,356
Gene0990,48,95,60,113,103,161,100,115,58,81,62,93
Gene0991,286,592,552,504,554,310,397,620,539,489,401,430
Gene0992,137,92,60,73,76,54,84,82,100,35,64,121
Gene0993,488,478,322,647,460,310,465,368,421,466,409,454
Gene0994,92,286,131,181,133,157,195,62,79,138,129,60
Gene0995,73,62,178,72,138,131,61,93,134,73,120,47
Gene0996,516,260,235,467,410,336,496,403,197,350,566,264
Gene0997,114,133,124,114,86,118,126,98,78,118,64,127
Gene0998,37,21,60,52,30,39,26,16,52,39,31,20
Gene0999,12,18,10,22,25,4,14,15,10,21,9,9
Gene1000,74,50,81,39,78,45,69,55,63,42,64,54
